Feature,Importance
mammals_0,0.03434294865594955
bpsh_0,0.032359683827570075
ncontacts,0.028910021303591854
hmmScoreMUT,0.028845391260188667
metazoa_0,0.028013698099915378
IUPRED,0.02776174537015518
sec,0.0270803564347109
specParalogs_0,0.025922725747295965
exclParalogs_0,0.025812908331436953
eukaryotes_0,0.02445862809623428
bpso_0,0.024319938270046235
allHomologs_0,0.022874156947827896
phi_psi,0.021863922850355513
P_WT,0.020827117111258498
D_Y_-2_pfam,0.01935393900896016
vertebrates_0,0.017841566624516116
acc,0.01607612891682279
orthologs_0,0.015046673002719654
A_H_2_pfam,0.014219248474403225
nresidues,0.01319982180121934
D_F_-1_pfam,0.013031346724981088
hmmScoreWT,0.01228452671726749
I_WT,0.011894655118873464
T_WT,0.011505064895139907
burr,0.010365974546772532
D_G_1_pfam,0.00950914365981409
S_WT,0.009278258149275725
mech_intra,0.00851718681482692
D_E_1_pfam,0.008292704450079933
R_WT,0.007846840428236627
D_A_-2_pfam,0.007616974058745093
A_C_-2_pfam,0.007422363175918805
R_P_0_pfam,0.007027760076019279
A_E_-2_pfam,0.0068886278534146285
D_V_2_pfam,0.006878558431671089
D_R_-1_pfam,0.006693294329359919
A_D_1_pfam,0.006500908261370067
D_F_-2_pfam,0.006072400183523557
D_I_2_pfam,0.005834145535824322
A_T_0_pfam,0.005498121608637593
A_R_2_pfam,0.005467652331692308
R_M_-2_pfam,0.005285012545528331
A_Y_2_pfam,0.005111113980003861
D_W_-2_pfam,0.005081907553448552
A_V_2_pfam,0.005060651417116231
ATPcount,0.005023739704548945
D_T_1_pfam,0.005002983364154124
D_S_2_pfam,0.004920591582341765
D_A_0_pfam,0.004832227074238324
A_L_-2_pfam,0.004737822502699041
A_V_0_pfam,0.004588393971055649
D_N_-2_pfam,0.004548460521661136
I_MUT,0.004493634636316511
A_R_0_pfam,0.004450648512084236
ChargesMUT,0.004396696492661728
D_C_-2_pfam,0.004386614025136054
D_D_1_pfam,0.004366029679189219
D_D_2_pfam,0.00436066391939413
D_P_-1_pfam,0.004357539811920113
D_G_0_pfam,0.004342736490686493
D_L_-1_pfam,0.004288469589246765
A_N_2_pfam,0.003943961386716079
D_R_2_pfam,0.003939264111892654
A_Y_-1_pfam,0.0038844754034595918
D_L_1_pfam,0.0038622456833778485
R_N_-2_pfam,0.0037325592261410853
A_D_-2_pfam,0.003714349476197358
D_K_0_pfam,0.003703590455612469
F_MUT,0.0036362769000160434
A_C_1_pfam,0.0035680813737559137
A_D_2_pfam,0.0035521573368178356
ChargesDiff,0.003549863210389714
D_K_2_pfam,0.0035434396763106865
A_K_-1_pfam,0.0033741779012549716
A_S_-2_pfam,0.0033700965165286683
N_MUT,0.0033076112432648018
D_K_-2_pfam,0.0032660446824210572
D_P_2_pfam,0.0031320211750801834
R_D_-2_pfam,0.003032366865171535
H_WT,0.0030145010924619983
V_MUT,0.0030129090607291403
A_A_-1_pfam,0.0029997938745322016
R_K_0_pfam,0.0029926472348321457
R_F_0_pfam,0.00295745741601546
D_T_0_pfam,0.002953270740390046
D_K_-1_pfam,0.0028048472267690485
D_Y_1_pfam,0.0027609917709149
A_I_-2_pfam,0.002757678252927017
A_M_0_pfam,0.0026999980533911126
G_WT,0.0026806695948851152
R_F_1_pfam,0.0026321370913545074
A_S_0_pfam,0.0025957103611815692
D_S_-2_pfam,0.002552015482978411
D_A_-1_pfam,0.002487700271076598
N_WT,0.0024714223493647403
D_L_2_pfam,0.002460164461312307
A_H_0_pfam,0.0024016635674677903
A_F_2_pfam,0.0023100915697692992
D_A_1_pfam,0.0022912976601378024
R_R_0_pfam,0.0022773575519188937
D_H_1_pfam,0.002267855984745523
R_I_1_pfam,0.0022589756829609247
R_MUT,0.0022407770001386697
D_T_2_pfam,0.0021988321065549957
A_K_-2_pfam,0.002168391389271134
D_R_-2_pfam,0.0020799369466939664
V_WT,0.0020218545865872033
R_H_1_pfam,0.002009956798682214
Q_MUT,0.0020080394335776253
A_A_0_pfam,0.0020058637560322647
K_WT,0.0020024709992296115
A_H_-1_pfam,0.0019184842474911734
R_G_2_pfam,0.001906992581326952
F_WT,0.0018762671998209365
D_N_0_pfam,0.0018608211030914695
R_K_1_pfam,0.001811762389511979
A_E_2_pfam,0.001802596054089323
D_R_1_pfam,0.0017952870427974962
D_N_-1_pfam,0.0017718266070613433
A_T_-2_pfam,0.0017698374253526958
D_N_2_pfam,0.0017414408365302948
D_F_0_pfam,0.0016775327177179255
H_MUT,0.0016463676962710798
A_C_-1_pfam,0.001636681869918697
p_1,0.0015974150448483369
D_T_-2_pfam,0.0015751144556177333
A_K_2_pfam,0.0015697016018591833
Y_MUT,0.0015317387380797691
A_R_-2_pfam,0.0015061761056706787
D_G_-1_pfam,0.0015003150197839318
A_E_1_pfam,0.001490233209477201
D_D_0_pfam,0.0014887086078222327
R_E_0_pfam,0.0014694259984280144
A_E_0_pfam,0.0014558475785002329
R_Y_-2_pfam,0.001449296819206585
p_2_pfam,0.0013383853182611601
ChargesWT,0.0013005208173687162
p_2,0.001289097156437616
D_D_-2_pfam,0.0012853286810371397
R_S_2_pfam,0.0012556135683530153
A_C_0_pfam,0.0012056744712786447
p_-2_pfam,0.001198215758970069
R_H_-2_pfam,0.0011885515717779465
p_1_pfam,0.001187995156331253
Phosphomimic,0.001159334228556151
D_Y_-1_pfam,0.0011510048043394065
R_V_1_pfam,0.0011336374380375635
C_MUT,0.0011130953057012327
R_L_-2_pfam,0.0011103572486720454
D_Q_0_pfam,0.0011099652990857363
D_F_1_pfam,0.00110752927524878
R_K_-1_pfam,0.0010913019775770185
D_L_0_pfam,0.0010830674570694715
A_WT,0.00105971694015048
D_K_1_pfam,0.0010591424270997606
A_M_2_pfam,0.0010510973120379306
D_I_-2_pfam,0.0010510385453798845
D_MUT,0.0010143241596055283
R_G_0_pfam,0.0009925576202781431
A_T_-1_pfam,0.000992327845278444
R_N_0_pfam,0.000975721156717674
A_A_2_pfam,0.0009741898555292991
A_N_-2_pfam,0.0009702567734473714
D_F_2_pfam,0.0009637462701659954
A_F_0_pfam,0.0009085240109861112
D_C_1_pfam,0.0009050633661704526
D_S_-1_pfam,0.000903263576852713
A_F_1_pfam,0.0009013001781547109
m2_-2_pfam,0.0008898995699463305
R_Y_0_pfam,0.0008842371699225366
R_I_0_pfam,0.000881853462214383
D_D_-1_pfam,0.000873110826627231
R_C_0_pfam,0.0008650799103773859
D_M_2_pfam,0.0008533293819946418
R_S_0_pfam,0.0008515178006208081
R_V_-2_pfam,0.0008510943550403988
A_L_2_pfam,0.0008469972194941413
A_Y_-2_pfam,0.0008388758258774119
A_F_-2_pfam,0.0007950785149120837
A_E_-1_pfam,0.0007817335823637907
D_Y_0_pfam,0.0007788013092880772
ub_1_pfam,0.0007583620030004247
A_R_1_pfam,0.0007372142918682973
A_R_-1_pfam,0.0007342451469628461
A_I_0_pfam,0.0007262890461271322
D_P_0_pfam,0.0006938797627924299
D_Y_2_pfam,0.0006843200622018836
A_S_1_pfam,0.000669650746183865
T_MUT,0.0006409909942117984
D_N_1_pfam,0.00063935228697318
R_H_0_pfam,0.0006359140502137559
R_A_-1_pfam,0.000616857221245363
A_Q_-2_pfam,0.0006049500035159522
A_G_0_pfam,0.0005924732240637565
A_S_-1_pfam,0.0005904093670269149
D_E_2_pfam,0.0005808689837527364
D_V_-1_pfam,0.0005704877186293241
D_M_0_pfam,0.0005557712129048314
D_C_2_pfam,0.0005552791642127981
p_-2,0.0005520526758696294
R_M_0_pfam,0.0005477755450648204
D_WT,0.0005473274571191064
D_A_2_pfam,0.0005358704050699147
Acetylmimic,0.0005353834040693564
K_MUT,0.0005241321907759506
ub_-2_pfam,0.0005235943800536154
D_C_-1_pfam,0.0005146089037109072
R_A_0_pfam,0.0005013226045044829
A_M_-2_pfam,0.00048274031401762695
D_I_0_pfam,0.0004814036716168431
R_H_2_pfam,0.00047942288562965925
R_V_0_pfam,0.00047318260896578914
P_MUT,0.00046969659064947103
A_D_-1_pfam,0.0004663693749330918
A_I_2_pfam,0.0004458650050698399
R_D_0_pfam,0.0004418149793875021
A_V_1_pfam,0.000425789471943745
A_N_-1_pfam,0.00042216648925643395
R_N_1_pfam,0.00041870789023094976
A_Y_1_pfam,0.00040816756926087544
A_T_1_pfam,0.0004072317487560335
A_K_1_pfam,0.00040509685301965835
R_G_-1_pfam,0.0004004791229042838
A_Y_0_pfam,0.00039944437972444773
R_E_1_pfam,0.0003722208801878952
D_V_1_pfam,0.00034898469362339157
R_Y_1_pfam,0.00034660143091293233
R_D_-1_pfam,0.0003396873698703169
R_I_-2_pfam,0.0003241447929977819
A_N_0_pfam,0.00030394356578402856
A_C_2_pfam,0.000303577635175042
A_I_-1_pfam,0.0003010728914336033
A_L_0_pfam,0.00029235622783404554
D_Q_1_pfam,0.00028905578344279895
D_S_0_pfam,0.00028354438294667003
D_S_1_pfam,0.0002805118795847088
A_T_2_pfam,0.0002721863968624484
D_Q_-1_pfam,0.00026732069255759925
A_N_1_pfam,0.000260906076942241
R_L_0_pfam,0.00025441721440211265
A_D_0_pfam,0.0002488452799054659
R_G_1_pfam,0.0002413847820499992
D_E_-1_pfam,0.0002295635354097781
A_MUT,0.0002275753860211838
D_I_-1_pfam,0.0002208663147227795
D_T_-1_pfam,0.0002143378377048859
R_V_2_pfam,0.00020072559929831032
Y_WT,0.00018567951453512128
D_C_0_pfam,0.00018106466459552435
D_M_-1_pfam,0.00017867672572529129
D_H_-2_pfam,0.00017470340910157758
D_L_-2_pfam,0.00016759319589325182
A_G_1_pfam,0.00012503716796124
D_V_-2_pfam,0.00011884145449055645
p_0,0.00010517610403620333
R_Y_2_pfam,0.00010517017566740034
R_S_1_pfam,9.212463693507718e-05
A_A_-2_pfam,9.060569774247094e-05
D_P_1_pfam,8.680653262411773e-05
M_WT,8.611557187015556e-05
A_V_-1_pfam,8.598500382434359e-05
D_M_1_pfam,8.286154817830725e-05
p_0_pfam,7.699642133399828e-05
A_A_1_pfam,7.212810961296707e-05
R_E_-2_pfam,7.141675461661916e-05
p_-1,7.008372943329882e-05
R_S_-1_pfam,6.54356102967918e-05
L_WT,6.064395791879245e-05
A_S_2_pfam,5.9151623112313114e-05
A_H_1_pfam,5.795730858024331e-05
A_Q_0_pfam,5.6818240962847607e-05
A_H_-2_pfam,5.351509583300837e-05
R_R_-2_pfam,4.519377111790608e-05
D_P_-2_pfam,2.402722536706935e-05
R_T_0_pfam,2.146940322195599e-05
R_V_-1_pfam,1.7953945596899026e-05
gl_2_pfam,4.521865648804851e-06
D_R_0_pfam,1.0077274607342524e-07
ub_0,0.0
m2_0,0.0
m1_0,0.0
gl_0,0.0
ac_0,0.0
ub_-1_pfam,0.0
sm_-1_pfam,0.0
D_W_1_pfam,0.0
A_G_2_pfam,0.0
me_0_pfam,0.0
sm_0_pfam,0.0
ub_0_pfam,0.0
ac_1,0.0
p_-1_pfam,0.0
gl_1,0.0
me_-1_pfam,0.0
m3_-1_pfam,0.0
m3_0_pfam,0.0
R_W_1_pfam,0.0
sm_0,0.0
m3_0,0.0
R_L_1_pfam,0.0
ac_0_pfam,0.0
R_M_1_pfam,0.0
me_0,0.0
R_P_1_pfam,0.0
m1_-1_pfam,0.0
R_Q_1_pfam,0.0
R_R_1_pfam,0.0
gl_0_pfam,0.0
