Feature,Importance
bpsh_0,0.0837200063454041
vertebrates_0,0.06648798338102155
eukaryotes_0,0.044211723981085436
allHomologs_0,0.041873355865219765
orthologs_0,0.040660064992127584
exclParalogs_0,0.035580887576930495
D_E_0_pfam,0.023374949626267908
A_MUT,0.022416497761850812
metazoa_0,0.022090190460883043
Y_WT,0.02088119761321784
D_A_0_pfam,0.020276146728836313
D_M_1_pfam,0.01829350819068665
D_R_1_pfam,0.017948481968556314
mammals_0,0.01556683468734115
nresidues,0.014641846226491744
D_K_0_pfam,0.014150322219921845
specParalogs_0,0.013770851605809929
D_V_0_pfam,0.013712409090003156
hmmScoreMUT,0.013178495869528068
hmmScoreWT,0.012803500008159604
IUPRED,0.012340360924851414
bpso_0,0.011005044367013248
ub_0_pfam,0.010627692601248106
p_0_pfam,0.009961759862088842
mech_intra,0.009929192453596284
A_Y_1_pfam,0.009575685016179343
D_H_2_pfam,0.009382509034376452
D_N_0_pfam,0.009075143732006475
A_E_0_pfam,0.008786049126305265
sec,0.008140683896236732
ATPcount,0.007946447422097156
R_WT,0.007636260729226462
D_T_2_pfam,0.007594623873127718
phi_psi,0.0075615557327202085
D_L_0_pfam,0.007070652887380295
F_MUT,0.006975037142095788
ChargesMUT,0.006072725235735909
D_A_-2_pfam,0.006069836237807793
D_V_1_pfam,0.0059877277392482746
A_F_1_pfam,0.005982420620653151
D_S_0_pfam,0.005897550245879526
D_Y_0_pfam,0.005885805255040301
R_V_0_pfam,0.00576420109204213
D_D_0_pfam,0.00560377986005035
A_N_-1_pfam,0.005394058015812779
D_W_0_pfam,0.005243455883788167
D_K_1_pfam,0.005177341763373559
ncontacts,0.005085702773768956
A_M_0_pfam,0.004931087922699033
A_A_2_pfam,0.004831155443212914
D_E_-1_pfam,0.004791485622866261
A_A_0_pfam,0.004704184791034155
A_A_-1_pfam,0.004450622988200322
p_1,0.004378708079777944
p_0,0.00415555104383569
A_E_-2_pfam,0.004049904307762544
R_R_0_pfam,0.003979431155273467
R_H_2_pfam,0.0038663324864867867
R_K_-1_pfam,0.003854963604376359
R_M_0_pfam,0.003826910545378244
A_T_1_pfam,0.003657078384816157
D_L_2_pfam,0.0036569183845098947
A_S_0_pfam,0.003611611263599874
D_G_0_pfam,0.0035768828297016676
A_N_1_pfam,0.0034346354814250987
acc,0.0033757089109334964
D_R_0_pfam,0.003350506408839106
D_P_0_pfam,0.0032351824360138935
me_0_pfam,0.003213334783153478
m2_0_pfam,0.0031321990239822958
A_R_1_pfam,0.003127793870266264
R_D_0_pfam,0.0031170807206019192
R_I_0_pfam,0.003096239397031814
p_-2,0.003060860086543682
D_G_2_pfam,0.0029480041550500077
A_R_-2_pfam,0.0027250307614297502
D_D_1_pfam,0.002678603638774572
R_C_2_pfam,0.0026342435949110623
R_H_0_pfam,0.0025166616331655516
A_V_-2_pfam,0.002473183661512012
ac_0_pfam,0.002456010136975287
D_G_1_pfam,0.002443643473033589
Phosphomimic,0.0021658527809484255
p_1_pfam,0.0021433372197847142
A_D_0_pfam,0.002089722510688537
S_WT,0.0020726226448689092
A_K_0_pfam,0.0020259310676275736
H_MUT,0.0019768817150956092
A_V_0_pfam,0.0018817408099439904
D_L_1_pfam,0.0018336148979103076
A_Y_2_pfam,0.0017864018106511078
D_L_-1_pfam,0.0017502072100884095
D_S_-2_pfam,0.0017390832630566925
burr,0.0016896857648593946
R_P_0_pfam,0.001682430940671921
D_A_2_pfam,0.0016692366923027602
R_A_-1_pfam,0.0016273275118779704
D_M_2_pfam,0.0015741949585250199
R_G_-1_pfam,0.0015528493914567438
A_N_0_pfam,0.001525126838910663
A_K_2_pfam,0.001469840731825344
R_R_-1_pfam,0.001463514938874619
Acetylmimic,0.0014141477192333588
R_C_0_pfam,0.0013756283803760588
R_E_2_pfam,0.0013417945509204303
P_WT,0.001341576760079311
R_Y_-2_pfam,0.0013104851673335731
A_R_0_pfam,0.0013031182624024047
T_WT,0.0012575955108457208
D_M_0_pfam,0.0012427095493889966
D_F_-2_pfam,0.0011898668563518097
ub_1_pfam,0.0011405740327955125
R_P_2_pfam,0.0011356407963553762
R_T_0_pfam,0.0011175383359557655
R_L_0_pfam,0.0011117744677305939
L_MUT,0.00111101738561507
S_MUT,0.001071424978284062
D_Y_1_pfam,0.001067751005324177
D_A_1_pfam,0.0010410057577073589
D_Y_-2_pfam,0.0010272839753218722
N_WT,0.0010209987185843274
ac_-1_pfam,0.0010021215751670448
D_S_2_pfam,0.0010020649136293317
ChargesDiff,0.0009934974920815342
R_E_-1_pfam,0.0009602928444808965
A_V_-1_pfam,0.0009313144292544828
D_H_-2_pfam,0.0009299230870527785
D_T_-1_pfam,0.0008733069606382391
D_F_2_pfam,0.0008513583048285692
D_K_-1_pfam,0.0008491406721629589
A_G_1_pfam,0.0008460174502862614
ChargesWT,0.0008434200544216599
R_H_1_pfam,0.0008313626233507599
D_P_2_pfam,0.000789100316329547
