Feature,Importance
sec,0.033882192688621776
orthologs_0,0.03170032484812508
specParalogs_0,0.031536649308357444
IUPRED,0.0311251661988834
phi_psi,0.030396883270373265
vertebrates_0,0.028395517525644086
bpsh_0,0.02825774823669949
hmmScoreMUT,0.027997901522705378
exclParalogs_0,0.026245320756413268
bpso_0,0.02558776434864015
eukaryotes_0,0.024702241766406813
metazoa_0,0.023979831622066666
allHomologs_0,0.02290085546086609
mammals_0,0.02099752163664234
acc,0.020541604774267568
nresidues,0.018629406921056926
mech_intra,0.018110208396790835
ncontacts,0.01689693141344223
burr,0.010344818580778703
hmmScoreWT,0.009872153190596733
D_K_2_pfam,0.008993543991376831
D_Y_-1_pfam,0.00806224372226693
R_WT,0.007909166555452509
A_L_1_pfam,0.00712512288415604
A_D_2_pfam,0.006882121339067788
A_H_-2_pfam,0.006832426636799969
D_R_1_pfam,0.006387589896530149
D_A_-2_pfam,0.00622211471046814
R_Y_2_pfam,0.00621457895878577
A_A_1_pfam,0.006141766765052661
D_A_-1_pfam,0.006069971615734991
A_R_-1_pfam,0.006038661749353517
D_E_-2_pfam,0.005736521030233409
A_A_2_pfam,0.005531626923751012
D_H_2_pfam,0.00550938419861502
D_Y_0_pfam,0.005216241475568928
ChargesWT,0.005014914588956082
D_M_1_pfam,0.004978112263663525
R_MUT,0.004925179570409624
A_R_1_pfam,0.004848331311058477
R_S_2_pfam,0.004810222814615708
I_WT,0.00474816627924484
D_S_2_pfam,0.004742696495667205
A_R_-2_pfam,0.004702069661691959
D_MUT,0.004662758174207424
D_F_2_pfam,0.004571888214935746
D_Y_-2_pfam,0.004462014379588237
A_M_0_pfam,0.00441254419553395
D_Y_1_pfam,0.004401683016595631
D_T_-2_pfam,0.004376698628477113
D_S_-1_pfam,0.004358858852360097
S_MUT,0.0043548425960754766
D_T_2_pfam,0.004338898253627197
D_C_-2_pfam,0.0041416184468847685
ChargesDiff,0.00410274771922627
D_M_2_pfam,0.004098127175458649
D_C_2_pfam,0.004015363140717934
p_0_pfam,0.003947039029762182
A_D_0_pfam,0.003922452562861523
D_F_1_pfam,0.0038793925168603745
A_Q_-2_pfam,0.0038516331712908007
A_M_-2_pfam,0.003827303934213843
R_M_-2_pfam,0.003811105944474316
D_A_0_pfam,0.0037121803625530976
D_F_-1_pfam,0.0035668312770008215
D_L_-1_pfam,0.0035489631642858766
A_K_0_pfam,0.003405846582772951
A_D_1_pfam,0.003396092723177713
D_P_0_pfam,0.0033662021994157036
D_K_0_pfam,0.0033261780311748803
A_A_-2_pfam,0.003278073804744492
A_E_1_pfam,0.0032457894119644
P_WT,0.0032263759245529607
A_N_2_pfam,0.0031656791670220917
A_Y_0_pfam,0.003157438527117073
R_G_0_pfam,0.0031514387868742024
A_E_2_pfam,0.003133668161905477
A_E_0_pfam,0.003064029561253726
R_S_1_pfam,0.0030460223339805466
R_D_-1_pfam,0.003045639994841082
A_L_0_pfam,0.0029812815129005984
A_S_-2_pfam,0.0029657995132809298
R_N_0_pfam,0.0028586226900545486
A_N_0_pfam,0.0028063085206391876
D_I_2_pfam,0.002797229769794635
D_H_-2_pfam,0.00276490995107881
R_K_2_pfam,0.0027608864698465347
A_S_0_pfam,0.002725626062444962
D_S_0_pfam,0.002725229794855744
D_L_0_pfam,0.0026577682108767987
D_K_1_pfam,0.0026482821800427846
A_F_-1_pfam,0.0026363063518874395
D_G_0_pfam,0.002627283956789041
D_Y_2_pfam,0.002585405376963156
p_1_pfam,0.00258326877648026
A_P_0_pfam,0.00258122274900235
Q_WT,0.0025153134555177038
D_A_1_pfam,0.0024986233544357886
A_V_-2_pfam,0.0024636473735825566
A_Y_-1_pfam,0.002426556971426027
A_G_0_pfam,0.002408784602721687
ub_0_pfam,0.002392206096230939
A_D_-2_pfam,0.002358243567816241
p_0,0.0023329450268678325
D_T_1_pfam,0.002307901076716666
A_G_-1_pfam,0.0022511791255824354
I_MUT,0.002238684364240268
A_T_-1_pfam,0.002180915138296047
A_R_0_pfam,0.002143557376629403
ChargesMUT,0.0021275078734337774
L_WT,0.0021250531172465536
A_A_0_pfam,0.0021227016772141713
D_I_0_pfam,0.00207556864799815
R_K_-1_pfam,0.002067283867183445
D_I_-1_pfam,0.0020472435208205835
A_Y_2_pfam,0.002017027315775157
D_E_-1_pfam,0.0020052601374823324
A_I_-1_pfam,0.0019653700213646394
V_MUT,0.0019433427169101688
D_Q_0_pfam,0.0019430334557728605
E_MUT,0.0018553913326636482
H_WT,0.001848584841384914
ub_0,0.0018362958980900777
A_V_1_pfam,0.0017935411398049546
V_WT,0.0017398504516070753
D_D_2_pfam,0.001733569922206716
A_F_2_pfam,0.001732022646178438
D_E_1_pfam,0.0017196136673892177
A_S_-1_pfam,0.0017061113485787962
F_MUT,0.0017038251183084097
D_D_-2_pfam,0.0016902826665830318
p_-1_pfam,0.0016663904184084349
ub_-1_pfam,0.0016524140164946705
ac_0_pfam,0.001649352293208867
ac_-1_pfam,0.001620187185565008
D_G_-1_pfam,0.0016033893393914078
D_S_1_pfam,0.0015931233902385254
A_K_2_pfam,0.0015864213853193272
sm_-1_pfam,0.0015752354569280958
A_C_0_pfam,0.001556465155423904
D_G_1_pfam,0.0015369261213337812
A_F_1_pfam,0.0015296577908910656
A_Y_-2_pfam,0.0015211530129829725
R_R_0_pfam,0.0015181638510153891
A_L_2_pfam,0.0015098913300506805
D_T_0_pfam,0.0014784399959128442
A_S_2_pfam,0.0014735272110371438
D_WT,0.0014640153100912625
ub_-1,0.001455199070469558
Phosphomimic,0.0014398059509374637
A_N_-1_pfam,0.0014316333400860534
D_R_-2_pfam,0.0014219924224868877
T_MUT,0.0014159867790789701
A_H_2_pfam,0.0014116183263320882
A_M_2_pfam,0.001396258774305084
D_C_-1_pfam,0.001380030577742269
R_M_2_pfam,0.001367502084915466
A_T_-2_pfam,0.001364218188031586
K_WT,0.001332574935374854
A_T_0_pfam,0.0013288526082138523
A_E_-1_pfam,0.0012993048962193954
R_N_-2_pfam,0.0012874691430485154
D_V_1_pfam,0.0012836931808815643
E_WT,0.0012656758440746027
A_Y_1_pfam,0.0012643547479587215
A_C_1_pfam,0.0012642344945481858
A_I_-2_pfam,0.001248219698455407
R_I_-2_pfam,0.0012285284695312336
A_V_0_pfam,0.0012205945868267328
D_V_-2_pfam,0.0011824866285109047
D_L_1_pfam,0.001163098703598658
D_T_-1_pfam,0.001159438449630898
Y_WT,0.0011531835766167824
D_K_-1_pfam,0.0011498434346365381
D_N_-1_pfam,0.001146623407292422
R_D_-2_pfam,0.0011389541183237592
S_WT,0.0011217703210536867
R_A_0_pfam,0.0011134997683493108
R_P_1_pfam,0.0011049669806492662
D_V_2_pfam,0.001086437034329441
A_C_-1_pfam,0.0010679863037693323
R_C_2_pfam,0.001053054898244754
A_Q_1_pfam,0.0010355699197063962
R_K_1_pfam,0.0010279348113662833
R_G_-1_pfam,0.001024636168698374
A_F_-2_pfam,0.0010216656777465027
G_MUT,0.0010126470966072233
R_G_1_pfam,0.0009749754039908771
D_D_1_pfam,0.0009678241639145637
D_W_-2_pfam,0.0009369699567528293
D_R_0_pfam,0.0009240933408397107
D_I_-2_pfam,0.000919442399937499
R_S_0_pfam,0.0009169148969754893
D_N_-2_pfam,0.0009137188320480944
A_G_2_pfam,0.0008929645950291586
ub_1_pfam,0.0008822672441034868
A_E_-2_pfam,0.0008572557973631577
N_MUT,0.0008234146192178711
R_Y_-2_pfam,0.0008201253694917836
D_D_0_pfam,0.0008158324276226001
A_S_1_pfam,0.0008038361333661783
D_H_-1_pfam,0.0008028344922044917
ub_2_pfam,0.0007966523980379896
D_A_2_pfam,0.0007856059816640567
A_T_1_pfam,0.0007839698968396912
D_P_-1_pfam,0.0007595668518783332
H_MUT,0.0007456587734639341
A_H_-1_pfam,0.0007441523901666523
L_MUT,0.0007153550976973373
R_V_-1_pfam,0.0007012069403525525
R_N_1_pfam,0.000685037915269662
A_D_-1_pfam,0.0006565909948169517
A_F_0_pfam,0.0006385170665155178
A_K_-1_pfam,0.000635410706383386
A_H_0_pfam,0.0006346468980279325
D_C_0_pfam,0.0006316086874737344
D_M_0_pfam,0.0006284366053844984
T_WT,0.000605194586124117
A_R_2_pfam,0.0005832194957707837
R_L_0_pfam,0.0005773453490959885
D_R_2_pfam,0.0005516726768670486
R_N_2_pfam,0.0005504065596758709
A_Q_0_pfam,0.000532751050114454
D_S_-2_pfam,0.0005323451374142746
R_V_0_pfam,0.0005281339811760723
A_MUT,0.0005264516206969087
