Feature,Importance
mammals_0,0.05356632267228386
bpsh_0,0.04379580116847044
phi_psi,0.03562629197218842
specParalogs_0,0.0314000320411652
eukaryotes_0,0.030118088415505347
vertebrates_0,0.03011034269582715
allHomologs_0,0.029261339664820547
metazoa_0,0.028752569526297653
exclParalogs_0,0.024997629695560693
nresidues,0.024240823830419492
hmmScoreMUT,0.021537269423634587
orthologs_0,0.01938477495946607
IUPRED,0.018800565604001892
acc,0.01844280335326299
mech_intra,0.017900851999692356
burr,0.017520847797933
V_WT,0.017042624433760412
hmmScoreWT,0.01429882908134196
ChargesMUT,0.013701469968783415
bpso_0,0.013139718535625679
sec,0.012665368606060731
D_Y_2_pfam,0.011873631474716567
A_E_0_pfam,0.01131151413224516
ncontacts,0.009878772975827534
D_R_0_pfam,0.009474203818869355
A_S_-2_pfam,0.00906460317052133
R_WT,0.00884139039830854
p_1_pfam,0.00813165287039785
D_G_0_pfam,0.008104300211145802
Phosphomimic,0.00806154893921655
D_R_-1_pfam,0.008007993593112614
D_P_2_pfam,0.007981824507795573
D_Y_-1_pfam,0.007582634823964356
D_Y_0_pfam,0.007471172441903678
A_R_1_pfam,0.007338975986471697
D_A_-2_pfam,0.007164150694201068
D_Y_1_pfam,0.006577143303132939
D_M_-2_pfam,0.006451846537731314
A_Q_0_pfam,0.005993747537756712
D_S_-2_pfam,0.005775689140654094
D_E_0_pfam,0.005682060290769402
D_T_2_pfam,0.0055760022686232365
D_F_-2_pfam,0.005245488505556237
D_T_-2_pfam,0.004983159704892889
D_E_1_pfam,0.004873649200728604
D_A_0_pfam,0.0048439269070244114
R_S_2_pfam,0.00479793312355346
ub_1_pfam,0.004776469861781333
D_A_-1_pfam,0.004767180403643647
p_-2_pfam,0.004632785771743327
D_R_1_pfam,0.00456030669593829
D_R_-2_pfam,0.004129820914107915
D_S_2_pfam,0.004116848063656494
R_MUT,0.004077721093406385
ChargesDiff,0.0040287248294201446
A_Y_0_pfam,0.004014403369044138
D_P_-2_pfam,0.003989352296621569
A_H_0_pfam,0.003943140570938529
D_A_1_pfam,0.003731441884509959
D_K_0_pfam,0.003662692462970032
D_V_1_pfam,0.003660061776702204
D_F_0_pfam,0.0036468932429953396
D_Y_-2_pfam,0.0036157467396465033
D_V_0_pfam,0.003523586573367746
A_N_-1_pfam,0.003460837272308052
D_L_0_pfam,0.0034580176495391584
R_D_0_pfam,0.003340667645829519
E_MUT,0.003314682039264119
D_V_-2_pfam,0.003244489780113204
sm_0_pfam,0.0032387668217423366
G_WT,0.0032222227160573057
ub_0_pfam,0.0031535127897153723
p_2,0.003118290847714719
T_MUT,0.0030916534950528652
D_S_-1_pfam,0.0030170986950022504
D_D_0_pfam,0.002920124928293378
R_K_0_pfam,0.002848451002852718
D_G_1_pfam,0.0028473802275555955
A_K_0_pfam,0.0027689775154433527
D_T_-1_pfam,0.0027491836398257446
D_I_-1_pfam,0.0027159237992151505
D_P_0_pfam,0.0026940097636152854
P_WT,0.0026324000045569846
A_Q_2_pfam,0.0026004773425215193
D_C_2_pfam,0.0025359278311104395
D_T_1_pfam,0.0025310467517395056
A_M_-2_pfam,0.0025117054459656892
p_-1_pfam,0.002509257436946051
D_K_2_pfam,0.0025004669721138545
N_MUT,0.002436436865404043
A_F_-1_pfam,0.002414555210953918
T_WT,0.002387360608941632
D_E_-2_pfam,0.0023465584680659383
A_MUT,0.002336271793903169
A_S_0_pfam,0.0023332318095276097
p_0_pfam,0.0023327874472375667
A_A_0_pfam,0.0023184888807140152
A_G_0_pfam,0.002304506843250736
A_A_2_pfam,0.0022678465249759677
A_D_0_pfam,0.002261448361892235
ChargesWT,0.0021683953687891082
D_D_2_pfam,0.002112618353133302
A_L_1_pfam,0.0021028664836278918
R_L_1_pfam,0.0020596932027783545
A_S_1_pfam,0.002048138477434594
p_1,0.002048136682021898
A_E_-1_pfam,0.0020255256044829206
D_N_0_pfam,0.0020035679919822454
A_V_-2_pfam,0.0019700760384923272
A_Y_2_pfam,0.0019291685152092008
D_L_2_pfam,0.0019112993146311928
A_T_1_pfam,0.0018637926843642508
