Feature,Importance
vertebrates_0,0.04938319580425634
bpsh_0,0.0450991609270209
allHomologs_0,0.03934483105791996
eukaryotes_0,0.03618642790342641
bpso_0,0.02916515388841311
D_N_0_pfam,0.02303550475210006
D_A_0_pfam,0.02171404373134386
Phosphomimic,0.020706145972785084
hmmScoreMUT,0.020507951244620834
A_MUT,0.019776787074001025
mammals_0,0.01909102948031524
hmmScoreWT,0.01894701745959192
specParalogs_0,0.01819222712298732
D_S_0_pfam,0.0173373126790465
D_A_-2_pfam,0.01657417927519527
A_K_0_pfam,0.016461787884894347
orthologs_0,0.015793424584921535
exclParalogs_0,0.01498746839814849
p_0_pfam,0.012225206156665457
A_F_0_pfam,0.012101483681126813
acc,0.011672265609628297
phi_psi,0.01114853223166556
IUPRED,0.011060787324526212
metazoa_0,0.01085665519132484
p_0,0.010660378938261156
sec,0.009950515150883858
mech_intra,0.009828384046830462
ncontacts,0.008337674726880899
D_K_1_pfam,0.007910220771848211
ChargesDiff,0.007788983410622676
nresidues,0.007692476695040901
D_I_0_pfam,0.0076349303336157096
ChargesMUT,0.00713374404714969
burr,0.007117136585642744
D_G_0_pfam,0.007106777287397722
Y_WT,0.006647743831006455
D_V_0_pfam,0.006481446124010409
A_A_0_pfam,0.006289587840900723
A_E_0_pfam,0.0061258336748546945
A_V_0_pfam,0.0060584809884887
D_E_0_pfam,0.006036893272040923
R_V_0_pfam,0.006008724531504584
A_H_1_pfam,0.005757356817672717
D_H_2_pfam,0.005643676892655478
D_D_0_pfam,0.005630046175734077
ub_1_pfam,0.005510419200538181
A_R_0_pfam,0.005395980720558264
D_L_0_pfam,0.005198848292155831
D_G_1_pfam,0.005193657141339362
D_R_0_pfam,0.005158195533646555
D_Y_1_pfam,0.00503699618702357
D_M_0_pfam,0.00503588282933727
A_D_0_pfam,0.004989535581584146
ATPcount,0.004925864521902534
A_Q_0_pfam,0.004888961791686867
R_P_0_pfam,0.004644531405923192
A_A_-1_pfam,0.004629739890125102
A_L_0_pfam,0.004627048734232379
D_M_1_pfam,0.004555460640847884
ub_0_pfam,0.0043860457016919666
R_I_0_pfam,0.004358129592750943
K_WT,0.004196367174558597
D_Y_0_pfam,0.0040849765076356485
A_M_0_pfam,0.004009601576804164
p_1_pfam,0.003939619941134936
P_WT,0.003896825319776209
A_Y_0_pfam,0.0038712298563776592
D_R_-2_pfam,0.0036900026782544014
R_C_-1_pfam,0.0036177935333283374
A_E_-1_pfam,0.0036140148763395656
A_S_2_pfam,0.003484656727996223
R_C_2_pfam,0.0034820844369240797
D_D_1_pfam,0.0033884052075222296
A_S_0_pfam,0.0033423015339807166
A_F_1_pfam,0.003256665723843713
R_H_0_pfam,0.003214602384209452
R_WT,0.00319137801215864
ub_-1_pfam,0.0031642723847970858
D_F_-1_pfam,0.0031134271451928697
A_C_-1_pfam,0.0031100712459832
D_G_-1_pfam,0.0030738105727971953
p_-2,0.003032683833920045
A_H_0_pfam,0.00286815876645118
D_P_0_pfam,0.0028381723491167484
E_MUT,0.0027796918113417108
D_K_0_pfam,0.0027756539490876274
S_WT,0.0027751053837378396
D_A_1_pfam,0.0027581523129140664
A_N_-1_pfam,0.0027549796832039702
D_T_0_pfam,0.0026705653614114114
D_S_-2_pfam,0.002590511477168559
D_S_1_pfam,0.002589265615831968
A_S_-2_pfam,0.002514257099851607
D_F_1_pfam,0.0024575808943838877
D_G_2_pfam,0.0024215348225638867
A_A_1_pfam,0.0023966172814980607
D_F_0_pfam,0.002375403760163139
D_A_2_pfam,0.0023349741767402215
ac_0_pfam,0.0023174531318426762
D_T_2_pfam,0.0022892465994727366
A_T_-1_pfam,0.0022843710652229923
ChargesWT,0.0022534064772434166
D_L_1_pfam,0.0021726338895558693
A_R_1_pfam,0.0021641442018571207
A_C_0_pfam,0.0021585156541449467
D_E_-1_pfam,0.0021016497023328353
D_Q_0_pfam,0.0020886557209882422
D_S_2_pfam,0.0020551779416685886
D_V_-1_pfam,0.002039073962074369
A_D_2_pfam,0.0020311257279687005
R_G_-1_pfam,0.0019331084496845522
D_Y_2_pfam,0.0019068198973458213
p_1,0.001876208316768171
A_G_0_pfam,0.0018637768906797619
D_R_-1_pfam,0.0018247323912742538
D_A_-1_pfam,0.0018056634406900735
D_P_-1_pfam,0.0017962743655746372
R_L_2_pfam,0.0017683636115928163
D_L_2_pfam,0.0017105547115684782
D_K_2_pfam,0.001706009679923739
ac_1_pfam,0.0016153181635615587
F_MUT,0.0015215732493278817
D_Y_-2_pfam,0.0015182621388037543
A_A_-2_pfam,0.0014916742506896712
D_S_-1_pfam,0.0014881118624158638
D_T_-2_pfam,0.0014858836267116515
D_W_0_pfam,0.0014332600485217882
