Feature,Importance
bpsh_0,0.09097180387162274
eukaryotes_0,0.08318410335042169
vertebrates_0,0.05839293423746035
p_0,0.032882607848920366
D_E_0_pfam,0.031052024152154942
allHomologs_0,0.030871042367746845
orthologs_0,0.030758531801650488
p_0_pfam,0.027759582510738796
D_V_-2_pfam,0.023314217664254237
metazoa_0,0.02284483973549964
bpso_0,0.02277799028802609
specParalogs_0,0.02139284684228817
mammals_0,0.01798239939152258
A_MUT,0.017307814288918984
D_M_1_pfam,0.016305696232872213
hmmScoreMUT,0.014887938623186209
A_L_2_pfam,0.014316647905247835
ncontacts,0.013712566080791631
nresidues,0.013241016612991749
D_K_0_pfam,0.012823264544488452
D_A_0_pfam,0.011606975431557925
Y_WT,0.011152814120353302
hmmScoreWT,0.009192008892088661
D_A_-2_pfam,0.008799734932910907
S_WT,0.008643618107921986
acc,0.008525243584274662
ub_0_pfam,0.008236140055042397
ac_0_pfam,0.008106037346755848
D_G_1_pfam,0.008003160740747068
D_Y_1_pfam,0.007850705714700352
ATPcount,0.007601117707258885
D_V_1_pfam,0.007367872517936501
D_V_0_pfam,0.007145173779933445
A_N_0_pfam,0.007080457571538247
sec,0.006907310994970624
D_D_0_pfam,0.0068916724478783175
A_E_0_pfam,0.006726401454716401
P_WT,0.006336378687783454
IUPRED,0.006269191569555123
D_H_2_pfam,0.006149692333457363
mech_intra,0.0057063766616452715
D_L_0_pfam,0.005223050487355245
phi_psi,0.005222452940562559
exclParalogs_0,0.005170279435057916
A_A_2_pfam,0.004932759446788203
D_R_0_pfam,0.004828951340434843
R_V_0_pfam,0.004794801030108435
p_1_pfam,0.0047841426594734055
D_W_0_pfam,0.00466974605346492
D_S_-1_pfam,0.004349038959635862
Acetylmimic,0.004324095475851866
D_K_1_pfam,0.004221350367028069
A_F_1_pfam,0.004213849921104734
D_A_-1_pfam,0.004162333576124065
D_T_2_pfam,0.004012402360804532
D_D_1_pfam,0.0037286240356910823
D_N_0_pfam,0.0037088370886548877
D_G_0_pfam,0.003704459537925085
A_A_0_pfam,0.0036169738179679797
burr,0.0033908353702095566
ChargesWT,0.003362359078295538
A_S_0_pfam,0.003321134738066466
A_Q_2_pfam,0.0032593210329075945
D_Y_-2_pfam,0.0031287485426500735
