1,Functional Information
2,Sequence Identity
3,Activating
4,Deactivating
12,Activating and Deactivating
5,Resistance
6,Phosphorylation
7,Acetylation
8,Ubiquitination
9,Sumoylation
10,O-GlcNAc
11,Methylation
