Feature,Importance
mammals_0,0.051465861733635175
allHomologs_0,0.04504781714885693
vertebrates_0,0.04041320269330992
eukaryotes_0,0.039721437762510046
metazoa_0,0.03659559473104905
bpso_0,0.03455109986403332
orthologs_0,0.03260676551586995
bpsh_0,0.03232381218765614
hmmScoreWT,0.03182330243548241
specParalogs_0,0.029012690950154574
D_N_0_pfam,0.021911944737937613
D_A_0_pfam,0.018602202898783674
p_0_pfam,0.018313526647187134
Phosphomimic,0.017961935824507603
A_MUT,0.016358258907623418
exclParalogs_0,0.016350330370430176
D_S_0_pfam,0.015535026556584435
hmmScoreMUT,0.015242076219725564
D_D_0_pfam,0.013618996808067406
D_I_0_pfam,0.013567958188800789
p_0,0.013104135553275852
mech_intra,0.011647419538992312
sec,0.01077268495065369
ncontacts,0.01075969301126078
A_E_0_pfam,0.010658630230927113
ChargesMUT,0.009826555193823677
acc,0.009588854179993724
phi_psi,0.009505238126039733
D_I_1_pfam,0.009389789775747667
D_Q_0_pfam,0.00917836403864616
ChargesDiff,0.009070109241615188
IUPRED,0.009054232348054954
A_D_0_pfam,0.00891326295783234
D_R_0_pfam,0.008826945473131887
burr,0.008330602504040392
ATPcount,0.008155116417350424
D_E_0_pfam,0.007395822507506485
ub_0_pfam,0.006964727479577375
D_K_0_pfam,0.006889110770865189
A_S_0_pfam,0.006041594835629559
D_A_-2_pfam,0.0059872554755086285
D_T_-1_pfam,0.005914710849561943
nresidues,0.005852391829730976
D_S_-2_pfam,0.0058111907387248425
D_W_0_pfam,0.005369522074170208
D_Y_0_pfam,0.005077436799968135
A_K_0_pfam,0.005024911520375768
E_MUT,0.004905253053288312
A_Y_1_pfam,0.004661780473732336
A_H_0_pfam,0.004426044104496403
D_G_0_pfam,0.004236874642490149
A_P_2_pfam,0.004204483441856558
D_M_0_pfam,0.004097464959524207
R_P_2_pfam,0.0037643312400454675
D_L_0_pfam,0.003557356096259633
A_F_0_pfam,0.003520992634561104
D_V_0_pfam,0.003451703622937964
D_T_0_pfam,0.003131847005997087
D_A_-1_pfam,0.0030751765439303836
D_A_2_pfam,0.00306770581734676
D_H_2_pfam,0.002982289054908238
A_Y_0_pfam,0.0029031816590367205
A_A_0_pfam,0.002892708143663972
A_S_2_pfam,0.0028112241140945205
A_E_-1_pfam,0.002789769356181025
Acetylmimic,0.0026760069981280727
A_R_0_pfam,0.0026366116484177003
ub_1_pfam,0.0026160589567712183
A_T_0_pfam,0.0026139388500844144
D_Y_1_pfam,0.002516499059632003
D_A_1_pfam,0.0024887466921387864
K_WT,0.0024756137502174873
ac_0_pfam,0.0023319156801114745
R_V_0_pfam,0.002305631634970663
D_F_0_pfam,0.002261062150920792
A_K_2_pfam,0.0022275160561229437
D_M_1_pfam,0.0022062696744764407
A_T_-1_pfam,0.0021652387766752036
D_R_1_pfam,0.0021360332896929925
D_G_1_pfam,0.002115647779640533
R_H_0_pfam,0.0020431772226006716
A_V_0_pfam,0.0020198808409108444
D_R_2_pfam,0.0019748686799197714
Y_WT,0.001972951733301433
A_L_0_pfam,0.001961990324862631
D_S_-1_pfam,0.0019221757147950865
A_A_-2_pfam,0.0019205446807061882
T_WT,0.0018460926483504466
D_L_1_pfam,0.0017367355148467734
P_WT,0.001724207891471507
A_D_-1_pfam,0.0017117738842559959
ub_-1_pfam,0.0017107012339716776
D_D_2_pfam,0.0016930501653022853
A_S_-2_pfam,0.0016892400515786286
D_C_-1_pfam,0.0016609748807352108
F_MUT,0.0016497802737726476
A_D_2_pfam,0.0016494576177382735
D_T_-2_pfam,0.0016092922475273517
D_G_2_pfam,0.0015803555009352346
D_L_2_pfam,0.0015168479545711916
A_V_-1_pfam,0.0015112549256463288
D_S_2_pfam,0.001484746042197983
A_L_2_pfam,0.0014766343445546581
p_1,0.0014625094604651836
A_G_0_pfam,0.0014190233536188815
A_V_1_pfam,0.0013959430245110108
R_Y_0_pfam,0.0013931992397306038
D_G_-1_pfam,0.001380709077223661
D_V_1_pfam,0.0012918129621233715
D_V_-2_pfam,0.0012268730420103952
A_I_0_pfam,0.0012069109909579974
D_R_-1_pfam,0.001206275525500764
R_A_0_pfam,0.0011987559592558491
D_F_1_pfam,0.0011376464984720843
ac_-1_pfam,0.001116589465122255
R_K_2_pfam,0.001071198085261932
L_MUT,0.0010708152839787855
A_S_-1_pfam,0.0010705703935095425
D_E_-1_pfam,0.0010479095531231474
A_Q_0_pfam,0.001024557636441849
ChargesWT,0.001023201344382593
A_N_0_pfam,0.0010173558815572683
R_G_-1_pfam,0.0010089330823572563
D_MUT,0.0010073211335974378
D_D_-2_pfam,0.0010046638728221807
D_S_1_pfam,0.0009831104873564917
D_K_1_pfam,0.0009828941000989096
A_N_-1_pfam,0.0009535121900251947
D_V_-1_pfam,0.0009187392494351113
D_D_1_pfam,0.0009160513456727523
D_Y_-2_pfam,0.0009148833093630758
D_T_1_pfam,0.000905658302634228
D_E_1_pfam,0.0009056018575412289
A_V_-2_pfam,0.0009048171051902494
D_F_2_pfam,0.0009029307105448743
A_E_2_pfam,0.0009005749100577443
R_G_0_pfam,0.0008772598648903774
A_S_1_pfam,0.0008465562511726312
A_Q_2_pfam,0.0008266011017682007
A_D_-2_pfam,0.0008132565268398388
D_Y_2_pfam,0.0007974987270241876
A_E_-2_pfam,0.0007889899936819571
A_A_1_pfam,0.0007810362712177877
D_P_0_pfam,0.0007795922135413465
S_MUT,0.0007680486358820544
D_G_-2_pfam,0.0007678943937106977
D_R_-2_pfam,0.0007623287024200558
p_-1,0.0007477867692731768
A_C_0_pfam,0.0007418251878505084
p_-1_pfam,0.0007331709733380227
D_P_2_pfam,0.0007220003261039916
A_E_1_pfam,0.0007138087804353728
A_F_-1_pfam,0.0007121307497745854
A_C_-1_pfam,0.0007067828400996633
D_K_2_pfam,0.0007024977912909732
R_N_-1_pfam,0.0006572387998488205
A_G_1_pfam,0.0006554577010303669
A_R_-2_pfam,0.0006495854349837765
p_-2_pfam,0.0006456351898377526
A_R_1_pfam,0.0006432792640903469
R_E_-1_pfam,0.0006406104454415494
p_1_pfam,0.0006348906794752108
D_H_-2_pfam,0.000627874357123496
M_MUT,0.0006261683746914445
A_H_-1_pfam,0.0006250015723782165
A_M_0_pfam,0.0006231139432897355
A_A_-1_pfam,0.0006230640834718928
R_P_0_pfam,0.0006045237245400928
A_N_2_pfam,0.0005969677639969165
R_K_-2_pfam,0.0005909569575557746
R_R_0_pfam,0.0005853220766299253
R_WT,0.000584853505606256
R_A_-1_pfam,0.0005812576707761209
D_F_-1_pfam,0.0005738564445052062
